　A00-A09　腸管感染症
A00　コレラ
A00.0　コレラ菌によるコレラ
A00.1　エルトールコレラ菌によるコレラ
A00.9　コレラ，詳細不明
A01　腸チフス及びパラチフス
A01.0　腸チフス
A01.1　パラチフスA
A01.2　パラチフスB
A01.3　パラチフスC
A01.4　パラチフス，詳細不明
A02　その他のサルモネラ感染症
A02.0　サルモネラ腸炎
A02.1　サルモネラ敗血症
A02.2　局所的サルモネラ感染症
A02.8　その他の明示されたサルモネラ感染症
A02.9　サルモネラ感染症，詳細不明
A03　細菌性赤痢
A03.0　志賀菌による細菌性赤痢
A03.1　フレクスナー菌による細菌性赤痢
A03.2　ボイド菌による細菌性赤痢
A03.3　ソンネ菌による細菌性赤痢
A03.8　その他の細菌性赤痢
A03.9　細菌性赤痢，詳細不明
A04　その他の細菌性腸管感染症
A04.0　腸管病原性大腸菌感染症
A04.1　腸管毒素原性大腸菌感染症
A04.2　腸管組織侵襲性大腸菌感染症
A04.3　腸管出血性大腸菌感染症
A04.4　その他の大腸菌性腸管感染症
A04.5　カンピロバクター腸炎
A04.6　エルシニアエンテロコリチカによる腸炎
A04.7　クロストリジウム・ディフィシルによる腸炎
A04.8　その他の明示された細菌性腸管感染症
A04.9　細菌性腸管感染症，詳細不明
A05　その他の細菌性食中毒，他に分類されないもの
A05.0　ブドウ球菌性食中毒
A05.1　ボツリズム＜ボツリヌス中毒＞
A05.2　ウェルシュ菌食中毒
A05.3　腸炎ビブリオ食中毒
A05.4　セレウス菌食中毒
A05.8　その他の明示された細菌性食中毒
A05.9　細菌性食中毒，詳細不明
A06　アメーバ症
A06.0　急性アメーバ赤痢
A06.1　慢性腸アメーバ症
A06.2　アメーバ性非赤痢性大腸炎
A06.3　腸管アメ－バ肉芽腫
A06.4　アメーバ性肝膿瘍
A06.5　アメーバ性肺膿瘍
A06.6　アメーバ性脳膿瘍
A06.7　皮膚アメーバ症
A06.8　その他の部位のアメーバ感染症
A06.9　アメーバ症，詳細不明
A07　その他の原虫性腸疾患
A07.0　バランチジウム症
A07.1　ジアルジア症［ランブル鞭毛虫症］
A07.2　クリプトスポリジウム症
A07.3　イソスポラ症
A07.8　その他の明示された原虫性腸疾患
A07.9　原虫性腸疾患，詳細不明
A08　ウイルス性及びその他の明示された腸管感染症
A08.0　ロタウイルス性腸炎
A08.1　ノーウォーク様ウイルスによる急性胃腸症
A08.2　アデノウイルス性腸炎
A08.3　その他のウイルス性腸炎
A08.4　ウイルス性腸管感染症，詳細不明
A08.5　その他の明示された腸管感染症
A08.5a　伝染性下痢症
A08.5b　その他
A09　その他の胃腸炎及び大腸炎，感染症及び詳細不明の原因によるもの
A09.0　感染症が原因のその他及び詳細不明の胃腸炎及び大腸炎
A09.9　詳細不明の原因による胃腸炎及び大腸炎
　A15-A19　結核
A15　呼吸器結核，細菌学的又は組織学的に確認されたもの
A15.0　肺結核，培養の有無にかかわらず喀痰鏡検により確認されたもの
A15.1　肺結核，培養のみにより確認されたもの
A15.2　肺結核，組織学的に確認されたもの
A15.3　肺結核，確認されてはいるが，その方法については詳細不明のもの
A15.4　胸腔内リンパ節結核，細菌学的又は組織学的に確認されたもの
A15.5　喉頭，気管及び気管支の結核，細菌学的又は組織学的に確認されたもの
A15.6　結核性胸膜炎，細菌学的又は組織学的に確認されたもの
A15.7　初感染呼吸器結核，細菌学的又は組織学的に確認されたもの
A15.8　その他の呼吸器結核，細菌学的又は組織学的に確認されたもの
A15.9　詳細不明の呼吸器結核，細菌学的又は組織学的に確認されたもの
A16　呼吸器結核，細菌学的又は組織学的に確認されていないもの
A16.0　肺結核，細菌学的及び組織学的検査陰性のもの
A16.1　肺結核，細菌学的及び組織学的検査が実施されていないもの
A16.2　肺結核，細菌学的又は組織学的確認の記載がないもの
A16.3　胸腔内リンパ節結核，細菌学的又は組織学的確認の記載がないもの
A16.4　喉頭，気管及び気管支の結核，細菌学的又は組織学的確認の記載がないもの
A16.5　結核性胸膜炎，細菌学的又は組織学的確認の記載がないもの
A16.7　初感染呼吸器結核，細菌学的又は組織学的確認の記載がないもの
A16.8　その他の呼吸器結核，細菌学的又は組織学的確認の記載がないもの
A16.9　詳細不明の呼吸器結核，細菌学的又は組織学的確認の記載がないもの
A17　神経系結核
A17.0　結核性髄膜炎
A17.1　髄膜（性）結核腫
A17.8　その他の神経系結核
A17.9　神経系結核，詳細不明
A18　その他の臓器の結核
A18.0　骨及び関節の結核
A18.1　腎尿路生殖器系の結核
A18.2　結核性末梢（性）リンパ節症
A18.3　腸，腹膜及び腸間膜リンパ節の結核
A18.4　皮膚及び皮下組織の結核
A18.5　眼の結核
A18.6　耳の結核
A18.7　副腎の結核
A18.8　その他の明示された臓器の結核
A19　粟粒結核
A19.0　急性粟粒結核，単一の明示された部位
A19.1　急性粟粒結核，多部位
A19.2　急性粟粒結核，詳細不明
A19.8　その他の粟粒結核
A19.9　粟粒結核，詳細不明
　A20-A28　人畜共通細菌性疾患
